id,songname,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harmonic_mean,harmonic_std,harmonic_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
1,Appudo Ippudo_excited,135.99917763157896,175628,1291.3823529411766,0.39236793,0.3106039,0.09647478,0.4619596,0.2571159,0.06610859,0.25111148,0.14239505,0.020276349,2.7770922,20.905352,437.03372,-1.7997059,47.62569,2268.2063,0.013339142,3.3994236,11.556081,0.09713978,0.053202353,0.0028304902,2410.6295708674447,935.8684595039641,875849.773494323,2565.2115623081204,417.2721133660402,174116.01659296147,23.227213877796807,13.220575602888513,174.78361927169098,5286.718031939338,1628.8326847531855,2653095.9149202704,1.0534264897637873,1.4535032797472067,2.1126717842358866,0.007236724749035061,0.08572863178654579,0.007349398307993148,0.08928479646381579,0.07959497565963548,0.006335360150257966,-3.5664543e-06,0.07539581,0.0056845276,-0.00012717665,0.06390939,0.00408441,2.532136054421769,1.3511634547586429,1.8256426814753113
2,Blockbuster_excited,161.4990234375,198565,1256.740506329114,0.3024151,0.31543693,0.099500455,0.4420194,0.28799823,0.082942985,0.24851544,0.14687887,0.021573404,10.808516,99.32764,9865.9795,-3.591981,48.8008,2381.518,0.009203634,3.026162,9.157656,0.18878251,0.10364199,0.010741661,2093.7651013997383,1028.9192667766313,1058674.8575441607,2644.1558612069193,588.5150139146829,346349.9216029994,23.245175471797996,12.582047745905538,158.30792548024664,4768.554498536668,2542.4167710288225,6463883.0376086235,1.7748556776666558,2.355514364813551,5.5484479228429855,0.02967488097694119,0.1308063102229037,0.017110290794130525,0.08605295659587849,0.09059954659040331,0.00820827784238666,7.958796e-06,0.16989054,0.028862797,0.00030058203,0.087271295,0.0076162787,2.169904761904762,1.0509556429323437,1.1045077634113358
3,Dhruva Dhruva_excited,161.4990234375,210712,1284.8292682926829,0.34077016,0.29377136,0.0863016,0.44488415,0.26718387,0.07138722,0.24673566,0.1498494,0.022454841,7.349233,49.281116,2428.6284,-2.072357,43.710716,1910.6268,0.011088859,2.1442006,4.597596,0.15584342,0.09535249,0.009092098,1922.4003892899311,726.4166589648873,527681.1624217094,2106.000582157475,617.4074521634523,381191.96198696556,23.177001477725312,13.286659537769092,176.53532167259036,4176.812243387795,1747.2422693901274,3052855.5479435623,2.1282487590440167,3.0004596841983378,9.002758316499587,0.03749848708439734,0.12585929515023356,0.015840562175713602,0.08878971253386223,0.04558930881982094,0.0020783850786690035,-8.473646e-06,0.13242134,0.01753541,-7.048943e-05,0.073991716,0.0054747737,2.262784580498866,1.4143501961401541,2.0003864773216926
4,Naatu-Naatu_excited,161.4990234375,203170,1277.7987421383648,0.42881122,0.30104935,0.09063072,0.51479334,0.27564096,0.075977944,0.25654414,0.13235721,0.01751843,16.449482,100.64535,10129.486,3.1975427,41.014297,1682.1726,0.0006367761,2.9294376,8.581605,0.24064046,0.120224446,0.014453918,2083.4594824036903,913.360750803054,834227.8611075184,2457.067856316477,560.2061114937438,313830.887354941,21.39996841126733,12.05168659791603,145.24314985438886,4719.192297023147,2105.4405605359616,4432879.953949983,3.10637424902514,4.059237253154513,16.477407077397398,-0.00011805436766766788,0.1040431735755146,0.01082498196766466,0.08017600800599846,0.0648476398524879,0.0042052163944379765,9.4937377e-07,0.18911517,0.03576455,-7.073055e-06,0.12090336,0.014617622,2.3835283446712014,1.4754134410336006,2.17684482198261
5,Pakado Pakado_excited,95.703125,120455,1267.9473684210527,0.34851137,0.3215429,0.10338984,0.41823116,0.28736445,0.082578324,0.24527076,0.15223531,0.023175592,18.009525,126.72399,16058.971,-1.0500027,41.16896,1694.8834,0.0127261765,3.0989861,9.603715,0.24557292,0.14176418,0.020097082,2097.4340831450068,648.05018677822,419969.04458328575,2226.262851318963,423.51207602701993,179362.47854071629,24.457740256620617,13.94682642097024,194.51396721667356,4411.035827069829,1502.048687089153,2256150.2583862483,2.9619982674514427,4.1346778539190785,17.095560955688878,0.008369982883705145,0.1562223436815127,0.024405420665344665,0.09005860130853328,0.0452136630835232,0.002044275329430349,3.219554e-06,0.19826788,0.039310154,0.0007675898,0.14530972,0.021114916,3.2136417233560097,1.6019311915222039,2.566183542371748
6,Pakka Local_excited,92.28515625,118844,1305.978021978022,0.28435323,0.30187508,0.09112857,0.36291575,0.30501643,0.09303501,0.2186108,0.1885276,0.035542656,16.351505,90.26417,8147.6206,2.0383255,42.321297,1791.0922,0.01506121,3.055104,9.33366,0.2626391,0.07938674,0.0063022547,1741.4113119636866,647.4208320126654,419153.7337239719,1991.9638211729814,538.4820873992213,289962.9584498227,26.66192915338181,13.227574985768063,174.96874000411697,3551.599357297915,1503.3092320456578,2259938.647153706,2.988433805889152,3.4774209384998414,12.092456383517119,-0.025338836897760765,0.19166038997807874,0.036733705086549225,0.08146681652718653,0.03944167139739091,0.0015556454426197644,-5.313403e-06,0.21642837,0.04684124,-3.0488378e-05,0.11005867,0.012112912,4.321233560090703,1.5139499464145643,2.292044440248662
7,Sainika_excited,89.10290948275862,95622,1427.1940298507463,0.40081525,0.31541303,0.099485375,0.52485615,0.25712737,0.06611449,0.26069742,0.12397654,0.015370183,4.9787607,48.679546,2369.6982,-0.05199978,46.16846,2131.5266,0.009833779,2.2578945,5.0980873,0.12085205,0.085994594,0.0073950696,1971.7012195324698,525.199723701182,275834.749775798,2248.022835380851,396.75406780513987,157413.79031992552,22.867663243780164,13.898865761882087,193.17846946681811,4264.5742127031735,1304.5954259458222,1701969.2253987612,1.5503312935871372,2.225083896147295,4.950998344894027,0.016203938066233686,0.08953426891005517,0.008016385309258071,0.07970718997919891,0.03555620669243557,0.0012642438343552,5.9591883e-07,0.1055825,0.011147664,4.0297775e-05,0.063364424,0.0040150504,13.381659863945577,5.711646785507772,32.622909002401265
8,Seeti Maar_excited,83.35433467741936,106363,1266.2261904761904,0.4391326,0.29506636,0.08706416,0.44804314,0.25644636,0.06576473,0.25439286,0.13644634,0.018617604,30.7769,212.39394,45111.184,7.940771,33.91899,1150.498,0.011386707,3.3664417,11.33293,0.35591406,0.104378365,0.010894842,2165.1220566452166,905.0213000185926,819063.5534873434,2364.3352572653093,650.5810535068683,423255.7071821067,23.375831094550996,13.506689633795723,182.43066486368485,4809.637583446208,1976.7252420728105,3907442.6826478112,3.8932966688075146,4.605936623935929,21.21465218371431,0.04245102604348298,0.088476892940758,0.007828160584450353,0.07667602916989164,0.04949657572805315,0.0024499110088028997,4.40284e-06,0.3009703,0.09058311,0.00016089322,0.13731368,0.018855046,3.0360090702947846,1.6122053622154155,2.5992061299561393
9,Top Lesi Poddi_excited,83.35433467741936,105111,1266.3975903614457,0.44846517,0.3009142,0.09054935,0.51371336,0.25087795,0.06293974,0.26562333,0.1130379,0.012777566,12.707205,91.55158,8381.692,-1.3505793,33.187008,1101.3776,0.010398489,3.6681209,13.455111,0.21509932,0.11505271,0.013237126,2623.504770936633,806.3774735227001,650244.629804853,2478.7723601231432,382.79799342421103,146534.30376960232,22.592693283594496,13.728590001954771,188.4741834417725,5459.1086561834845,1441.1674919858463,2076963.7399567745,2.7842275887086423,3.6729816136549855,13.490793934247582,0.016645965713150232,0.08950816712798702,0.008011711982611656,0.1299107790731424,0.07544861546981135,0.005692493576311457,-1.525811e-05,0.16246137,0.026393695,0.0003002849,0.12508349,0.015645878,2.363791383219955,1.351684598350544,1.8270512534180718
10,Who Are You_excited,135.99917763157896,175703,1291.9338235294117,0.40013444,0.3027686,0.09166882,0.44657043,0.28354242,0.08039631,0.24335167,0.15528454,0.024113288,10.318511,80.689514,6510.798,1.082653,33.578697,1127.5289,0.013160064,2.6316147,6.9253955,0.19218653,0.0985843,0.009718864,2198.7607599949283,591.3353882749504,349677.54142628645,2191.6514735309393,355.03855100180294,126052.37269745984,22.632115059265455,13.59364854345358,184.78728072293765,4541.930868898752,1100.109745637322,1210241.4524462135,2.612928580769793,3.222023494466797,10.381435398896029,0.024239972852227145,0.14387245235877502,0.020699282547727987,0.10641432251354489,0.051241360407737954,0.0026256770164356947,-9.036489e-07,0.15238038,0.023219781,-6.121984e-05,0.09555455,0.009130673,6.6490340136054416,2.1948234544878145,4.817249996369824
