id,songname,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harmonic_mean,harmonic_std,harmonic_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
1,Come To The Party_happy,172.265625,213510,1278.502994011976,0.40031615,0.3089233,0.095433615,0.53459954,0.2459732,0.060502812,0.2704489,0.10094915,0.010190732,21.560257,124.77162,15567.957,4.751729,43.66354,1906.5048,0.012996775,3.6449614,13.285743,0.2800566,0.12305305,0.015142054,1777.810064869181,749.8301452448856,562245.2467179662,2112.333228431459,489.382789761315,239495.51491456744,23.513201921486026,14.051933115206769,197.45682427424458,3858.872499259264,1762.955536576959,3108012.223947353,3.282706447491754,4.134782985702432,17.096430338854322,0.011893889323476884,0.08453544129734566,0.007146240835336975,0.07755697622387771,0.06110475415402202,0.0037337909802234717,2.7578517e-06,0.20267741,0.041078135,0.00023659528,0.15475608,0.023949444,2.5716099773242633,1.4510312038859066,2.105491554650583
2,Crazy Feeling,129.19921875,164455,1274.84496124031,0.31384483,0.3020065,0.09120793,0.36751977,0.30633834,0.093843184,0.21896513,0.18811594,0.035387605,3.1188707,31.34802,982.69836,-3.9941618,56.64433,3208.5798,0.0037781731,3.9676986,15.742633,0.099479415,0.065806806,0.0043305354,2039.60146255071,940.8506750311634,885199.9927065959,2193.7823651728363,627.4844722615834,393736.76292939775,27.293772603421573,12.71870609144364,161.76548464052553,4057.967128694611,2069.361927134692,4282258.785474606,0.9930643292368079,1.4522144642032129,2.1089268500410245,0.04926321017239692,0.19595708667309797,0.03839917981740803,0.0883688911934017,0.05874796938752957,0.003451323907158111,3.1694476e-06,0.09082017,0.008248303,0.00020434456,0.049190506,0.0024197057,4.367673469387755,2.557558634529241,6.541106169055075
3,Kanne Kanne_happy,86.1328125,110582,1285.8372093023256,0.27026796,0.30297786,0.091795586,0.33182198,0.29744953,0.088476226,0.21521774,0.19239195,0.03701466,8.271909,71.8049,5155.944,-8.184138,45.177532,2041.0093,0.0078116087,2.5968747,6.7437577,0.16905797,0.08845212,0.007823778,2068.9107703192185,788.7792484077382,622172.7027186764,2344.795503852391,649.976187326229,422469.04409114114,26.363580116755607,12.322094370873826,151.83400968472043,4608.884630705181,1930.7263334503655,3727704.1746786917,1.6539869534691825,2.137252134234696,4.567846685290762,-0.049343343807526995,0.19650747703959615,0.038615188532467405,0.0735460405379257,0.040853919577883445,0.001669042744876168,-7.583951e-06,0.16063528,0.025803693,-4.4232835e-05,0.06849151,0.004691087,3.1056689342403625,1.5946188684498666,2.5428093356163326
4,Nuvve Samastham_happy,117.45383522727273,149273,1286.8362068965516,0.3714725,0.3023523,0.09141691,0.4679513,0.26223403,0.06876668,0.24968182,0.14488728,0.020992324,19.357235,142.04929,20177.998,3.3465683,33.09503,1095.2812,0.015242616,3.3873322,11.47402,0.26423207,0.12500781,0.015626954,2082.419902109001,696.4439458703088,485034.1697394056,2251.8236188163296,351.4731895361661,123533.40296272574,22.32943375319942,12.716308885491676,161.70451167123454,4431.806534805534,1423.1292680159738,2025296.9134836816,3.3557822512223385,4.051323043710782,16.41321840450199,0.06214235504603623,0.10514018054779184,0.011054457565622266,0.09151361896526702,0.054971559881872384,0.003021872395846281,6.9202874e-06,0.18517189,0.034288626,0.00013625404,0.16244876,0.0263896,5.656380952380952,2.866845473234572,8.218802967405558
5,Nuvvunte_happy,129.19921875,159530,1296.9918699186992,0.38352177,0.3087878,0.09534991,0.5545745,0.25912967,0.06714819,0.25967687,0.12610017,0.01590125,2.3870451,14.948613,223.46103,0.7628108,52.088913,2713.255,0.012608382,4.5862956,21.03411,0.100883305,0.04688014,0.0021977476,2795.493243228485,973.7702360676931,948228.4726513306,2509.0817270384337,364.61829438863333,132946.5006028761,25.37781489062362,14.375211741560058,206.64671261468615,5735.294486125556,1626.750285189428,2646316.490363885,1.2188948052413766,1.692120699630089,2.8632724621166217,0.020352577679472107,0.056150532279162446,0.0031528822752332638,0.139264841935952,0.09295166024114936,0.008640011141586065,-2.02688e-06,0.07275139,0.005292765,1.0362525e-05,0.06361834,0.004047293,3.736090702947846,0.9884421325885995,0.9770178494762984
6,Rangule_happy,184.5703125,237054,1288.3369565217392,0.22464761,0.3030718,0.091852516,0.33465856,0.2887526,0.08337806,0.22385736,0.18226686,0.033221208,7.538968,68.54717,4698.7153,-7.3846984,45.2964,2051.7637,0.011877742,3.1381576,9.848034,0.15783542,0.09253934,0.00856353,2182.9133508311106,699.4760319592488,489266.719285456,2430.1447341292974,445.15565230305464,198163.55477735808,25.667720690067533,11.987795488997303,143.70724068602408,4740.03800430534,1700.3840123989849,2891305.7896220707,1.494361639008688,1.9557734947407444,3.825049962730424,0.046785872671429876,0.1767087073467088,0.03122596725214477,0.09066630738438468,0.05818115401396462,0.003385046682396672,3.286318e-07,0.15336797,0.023521734,4.247202e-05,0.065194145,0.004250277,3.9497142857142853,1.9773928512517092,3.9100824881813643
7,Srivalli_happy,107.666015625,134827,1271.9528301886792,0.24640338,0.30539638,0.09326694,0.32449818,0.28629985,0.08196761,0.22254784,0.1838635,0.033805788,9.595183,80.66163,6506.298,-8.600572,42.168755,1778.2039,0.004807507,3.8216107,14.604708,0.17993787,0.09893298,0.0097877355,2424.478701622542,748.4377135530556,560159.0110685257,2603.0022582047777,389.2089679442872,151483.6207282572,25.75883295919939,12.67337395551632,160.61440741635937,5449.408714837703,1742.5589334433114,3036511.6365230912,1.6934561424958674,2.24467362984,5.0385597044990815,0.008818129752010448,0.18156875224003435,0.03296721179000298,0.09330895958301083,0.054719548418067844,0.002994228979077271,-3.300621e-05,0.16250522,0.026407948,-0.00014962848,0.08966904,0.008040537,2.0317460317460316,1.225311968541828,1.5013894202518496
8,Unnatundi Gundey_happy,117.45383522727273,152060,1288.6440677966102,0.29040357,0.30304545,0.09183654,0.40534562,0.27834123,0.07747384,0.24139811,0.1583044,0.025060283,19.19606,123.779175,15321.283,2.2185168,44.039265,1939.4568,0.01175857,3.7021832,13.706161,0.27019918,0.09675511,0.009361551,2101.5773306681676,981.2786048329442,962907.7003028895,2700.112619550187,579.9802840424541,336377.1298779657,25.70545443793257,12.407510638683021,153.94632024903234,5088.706729286595,2575.5072978463813,6633237.8412599685,2.5021352330703106,3.010574531202838,9.063559007927186,0.04312415251295671,0.14282222312467685,0.020398187418274975,0.06329402392124613,0.043207820208080575,0.0018669157271338163,-4.31509e-06,0.23337251,0.054462727,-0.00033620105,0.11669721,0.013618237,1.8552743764172335,0.9144034650445924,0.8361336968855569
9,Uppenantha_happy,172.265625,219822,1308.4642857142858,0.33703393,0.31447002,0.09889139,0.4234032,0.27834907,0.07747821,0.24308477,0.15570202,0.02424312,18.426346,145.71658,21233.322,0.43367887,41.397697,1713.7694,0.010658234,4.163505,17.334776,0.25383043,0.13536364,0.018323313,2120.0074668637635,956.4493426696296,914795.3450931665,2214.8536236034665,589.650870284396,347688.14882714563,24.736081722652514,13.325114786272488,177.5586840673377,4462.493849243542,1939.526046850407,3761761.286411167,2.6921340289029185,3.677405564717166,13.523311687412779,0.025796636921631765,0.1328962730377761,0.017661419387331137,0.09166630133755804,0.06745795624619276,0.004550575860913257,-6.2667473e-06,0.21911196,0.048010055,3.8465878e-05,0.13337818,0.017789738,3.8916643990929707,1.6143363491289042,2.6060818481188397
10,You Are My Love_happy,112.34714673913044,141735,1362.8365384615386,0.4657308,0.29849318,0.08909818,0.5087498,0.26889038,0.07230204,0.25583753,0.133718,0.017880503,24.049,187.233,35056.195,5.466211,37.256557,1388.051,0.015265638,3.9947698,15.958185,0.2922701,0.13704903,0.018782439,1846.6640658797746,747.4806471146908,558727.3178109969,2297.363555025245,488.8225235040406,238947.45948485832,22.381085914493728,13.06015461083758,170.5676384589821,4099.279378885086,1767.5853408250214,3124357.9370995066,3.077638834915709,3.8428233406002725,14.767291227062238,0.02799419568872671,0.10212116221827064,0.010428731772810347,0.06619196558146284,0.05023647398593881,0.002523703318539907,9.7398615e-06,0.24904673,0.06202427,0.00017108202,0.1372192,0.018829111,7.664907029478458,5.561021104652429,30.924955726389726
